2021-08-31 08:58:58,580 [http-nio-8084-exec-3] INFO  [com.fzc.fzcstockus.aspectj.AopLog] AopLog.java:85 - Request Log Info : {"threadId":"164","classMethod":"com.fzc.fzcstockus.controller.StockRankUsController.searchUsRank","os":"UNKNOWN","ip":"0:0:0:0:0:0:0:1","browser":"UNKNOWN","requestParams":{"node":"XNYS","code":"i","pageIndex":1,"pageSize":10,"sort":"symbol"},"userAgent":"PostmanRuntime/7.28.4","httpMethod":"GET","timeCost":1732,"threadName":"http-nio-8084-exec-3","url":"http://localhost:8084/UsRank/Financial"}
2021-08-31 09:01:52,878 [http-nio-8084-exec-4] INFO  [c.f.f.controller.StockAnalysisDataController] StockAnalysisDataController.java:56 - 收到前端传入的code:UNDEFINED
2021-08-31 09:01:52,879 [http-nio-8084-exec-4] INFO  [com.fzc.fzcstockus.aspectj.AopLog] AopLog.java:85 - Request Log Info : {"threadId":"165","classMethod":"com.fzc.fzcstockus.controller.StockAnalysisDataController.getAnalysisData","os":"WINDOWS_10","ip":"0:0:0:0:0:0:0:1","browser":"CHROME9","requestParams":{"code":"undefined"},"userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","httpMethod":"GET","timeCost":8,"threadName":"http-nio-8084-exec-4","url":"http://localhost:8084/AnalysisData/data/"}
2021-08-31 09:02:18,961 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2021-08-31 09:07:18,964 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2021-08-31 09:12:18,978 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2021-08-31 09:17:18,988 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2021-08-31 09:18:52,357 [http-nio-8084-exec-8] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:89 - 当前页码：10总页数：476
2021-08-31 09:18:52,357 [http-nio-8084-exec-8] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:90 - Page 2 of 476 containing com.fzc.fzcstockus.DO.StockUsInfoDo instances
2021-08-31 09:18:53,037 [http-nio-8084-exec-8] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:270 - 成功调用美股排行数据
2021-08-31 09:18:53,038 [http-nio-8084-exec-8] INFO  [com.fzc.fzcstockus.aspectj.AopLog] AopLog.java:85 - Request Log Info : {"threadId":"169","classMethod":"com.fzc.fzcstockus.controller.StockRankUsController.searchUsRank","os":"WINDOWS_10","ip":"0:0:0:0:0:0:0:1","browser":"CHROME9","requestParams":{"node":"all","code":"","pageIndex":1,"pageSize":10,"sort":"symbol"},"userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","httpMethod":"GET","timeCost":1559,"threadName":"http-nio-8084-exec-8","url":"http://localhost:8084/UsRank/Financial"}
2021-08-31 09:18:56,285 [http-nio-8084-exec-10] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:89 - 当前页码：10总页数：82
2021-08-31 09:18:56,285 [http-nio-8084-exec-10] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:90 - Page 2 of 82 containing com.fzc.fzcstockus.DO.StockUsInfoDo instances
